Country Name,Time,"Total reserves (includes gold, current US$) [FI.RES.TOTL.CD]","Unemployment, total (% of total labor force) (national estimate) [SL.UEM.TOTL.NE.ZS]",Real interest rate (%) [FR.INR.RINR],"Official exchange rate (LCU per US$, period average) [PA.NUS.FCRF]",External debt stocks (% of GNI) [DT.DOD.DECT.GN.ZS],Oil rents (% of GDP) [NY.GDP.PETR.RT.ZS],Imports of goods and services (% of GDP) [NE.IMP.GNFS.ZS],Exports of goods and services (% of GDP) [NE.EXP.GNFS.ZS],"Industry (including construction), value added (% of GDP) [NV.IND.TOTL.ZS]",Broad money (% of GDP) [FM.LBL.BMNY.GD.ZS],"Inflation, consumer prices (annual %) [FP.CPI.TOTL.ZG]",Price level ratio of PPP conversion factor (GDP) to market exchange rate [PA.NUS.PPPC.RF],"Wage and salaried workers, total (% of total employment) (modeled ILO estimate) [SL.EMP.WORK.ZS]",Consumer price index (2010 = 100) [FP.CPI.TOTL]
Pakistan,1985,1429436612,3.97,..,15.92839167,43.95056238,0.851518488,22.60455738,10.56618879,20.22971173,40.66128428,5.614839218,..,..,12.97585373
Pakistan,1986,1464868891,3.97,..,16.64750833,47.84582996,0.471893667,20.11050819,12.29622259,21.15572987,43.30970668,3.506414248,..,..,13.43084092
Pakistan,1987,1440835177,3.05,..,17.3988,51.44270452,0.627546252,19.08768706,13.80941484,21.6301384,45.31105944,4.681218546,..,..,14.05956793
Pakistan,1988,1192694259,2.16,..,18.00329167,45.33923067,0.445922509,19.42539781,13.85882802,21.69520084,41.36542052,8.837937018,..,..,15.30214369
Pakistan,1989,1302246972,2.03,..,20.54149167,46.70883267,0.722043753,20.34972621,14.07193291,21.20806241,38.98096123,7.844264737,..,..,16.50248435
Pakistan,1990,1046429501,1.97,..,21.707375,52.93146165,1.214846853,20.24585749,14.78871841,22.34424489,39.13710376,9.052131553,0.294396784,..,17.99631095
Pakistan,1991,1219792227,5.85,..,23.80076667,52.55318707,0.604785839,18.48726239,16.93239271,22.93092299,39.04106408,11.79127034,0.309085033,34.05574684,20.11830462
Pakistan,1992,1523790726,5.18,..,25.08279167,52.34281638,0.566738015,20.42381241,17.27072731,22.644989,42.53000491,9.509041462,0.300620961,34.04867524,22.03136255
Pakistan,1993,1995445624,4.28,..,28.10718333,48.81117298,0.438293444,22.29722226,16.20209462,22.59268397,45.36470216,9.97366476,0.305857105,34.11273183,24.22869679
Pakistan,1994,3715827397,4.26,..,30.56659167,54.04296583,0.405537823,18.89934314,16.15838057,22.37045777,45.41029574,12.36819439,0.291367826,34.17788547,27.22534911
Pakistan,1995,2527544035,5.03,..,31.64268333,51.38610353,0.436079561,19.42278402,16.70996966,21.32329218,43.57084594,12.34357852,0.315267287,34.13251791,30.58593146
Pakistan,1996,1307463615,4.79,..,36.07868333,48.65438831,0.521201638,21.42702506,16.90310178,21.99438442,46.04129003,10.37380859,0.308359012,34.1325291,33.75885744
Pakistan,1997,1794513747,5.81,..,41.111525,49.95286672,0.4771238,20.77031288,16.08195323,21.5572793,48.20323748,11.37549289,0.295884716,36.43379591,37.59909387
Pakistan,1998,1625676185,5.7,..,45.04666667,53.98241656,0.235044427,17.526934,16.48479118,22.05301951,47.1502314,6.228004154,0.284216872,35.248085,39.940767
Pakistan,1999,2117468755,5.35,..,49.50069158,55.89735484,0.410262654,16.96646348,15.35349933,22.10317321,44.82025634,4.142637181,0.273754684,35.24774905,41.59536806
Pakistan,2000,2087167574,7.16,..,53.6481865,33.97105485,0.575230608,11.83034322,9.629626104,17.18363478,28.68950371,4.366664513,0.250404822,35.57684437,43.41169823
Pakistan,2001,4218132004,6.88,..,61.92716167,34.07668024,0.499846316,12.95103576,10.62617308,17.59349428,29.87656299,3.148261446,0.230708559,35.57535754,44.77841199
Pakistan,2002,8795802481,7.83,..,59.72378167,35.89883556,0.552834728,11.86605503,11.26296557,17.15888767,32.95857119,3.290344726,0.223205099,39.85134525,46.25177611
Pakistan,2003,11815604886,7.49,..,57.75199667,33.62099861,0.522591846,12.48552221,12.16464391,17.38858336,35.5893433,2.914134701,0.238308222,39.8524541,47.59961517
